Location,Camera trap no.,Latitude,Longitude,Altitude,Trap location,PA name,Range,Beat,Nearest village,Date of deployment
,P9,,,,TRSHCT16,,,Mandaria,,22-Feb-24
Gumti,P21,23.620278,91.789444,120,GUM_GAN_CT1,Gumti,Gandachhera,Gandachhera,Laxmipur,10-Mar-24
Gumti,P7,23.673833,91.778694,153,GUM_JBP_CT1,Gumti,Gandachhera,Jagabandhu para,Dalirai para,10-Mar-24
Gumti,THT19,23.673833,91.778694,153,GUM_JBP_CT1,Gumti,Gandachhera,Jagabandhu para,Dalirai para,10-Mar-24
Gumti,P18,23.684122,91.835794,147,GUM_BAR_CT1,Gumti,Gandachhera,Barabari,Shikaripara,10-Mar-24
Gumti,THT39,23.683964,91.836039,147,GUM_BAR_CT1,Gumti,Gandachhera,Barabari,Shikaripara,10-Mar-24
Gumti,P10,23.519167,91.777222,130,GUM_KAL_CT1,Gumti,Gandachhera,Kalajhari,Ajidapara,11-Mar-24
Gumti,THT26,23.519167,91.777222,130,GUM_KAL_CT1,Gumti,Gandachhera,Kalajhari,Ajidapara,11-Mar-24
Gumti,P16,23.552222,91.757278,133,GUM_KAL_CT2,Gumti,Gandachhera,Kalajhari,Montila,11-Mar-24
Gumti,P9,23.582547,91.782467,107,GUM_DAL_CT1,Gumti,Gandachhera,Dhalajari,Montopara,11-Mar-24
Gumti,THT24,23.582547,91.782467,107,GUM_DAL_CT1,Gumti,Gandachhera,Dhalajari,Montopara,11-Mar-24
Gumti,THT13,23.535733,91.764483,142,GUM_KAL_CT3,Gumti,Gandachhera,Kalajhari,Saduchandra Reangpara,11-Mar-24
Gumti,P20,23.535733,91.764483,142,GUM_KAL_CT3,Gumti,Gandachhera,Kalajhari,Ajidapara,11-Mar-24
Gumti,P14,23.767906,91.781253,133,GUM_KAR_CT1,Gumti,Ganganagar,karmapara,Paltanpara,12-Mar-24
Gumti,THT12,23.767906,91.781253,133,GUM_KAR_CT1,Gumti,Ganganagar,karmapara,Paltanpara,12-Mar-24
Gumti,P6,23.766733,91.827233,115,GUM_GANG_CT1,Gumti,Ganganagar,Ganganagar,Gumseng,12-Mar-24
Gumti,THT27,23.7651,91.828367,138,GUM_GANG_CT1,Gumti,Ganganagar,Ganganagar,Gumseng,12-Mar-24
Gumti,P15,23.744167,91.815,,GUM_GANG_CT2,Gumti,Ganganagar,Ganganagar,Radharambari,12-Mar-24
Gumti,P19,23.705167,91.79175,116,GUM_RAD_CT1,Gumti,Gananagar,Radharambari,Sardinkhapara,13-Mar-24
Gumti,THT18,23.738361,91.799889,118,GUM_RAD_CT2,Gumti,Gananagar,Radharambari,Karmapara,13-Mar-24
Gumti,P8,23.747778,91.849444,130,GUM_GAN_CT3,Gumti,Ganganagar,Ganganagar,Panchajoy Para,13-Mar-24
Gumti,THT10,23.747222,91.849444,130,GUM_GAN_CT3,Gumti,Ganganagar,Ganganagar,Panchajoy Para,13-Mar-24
Gumti,THT17,23.64525,91.734683,145,GUM_EKC_CT1,Gumti,Ampi,Ekjancharra,Debendrapara,13-Mar-24
Gumti,P13,23.64525,91.734683,145,GUM_EKC_CT1,Gumti,Ampi,Ekjancharra,Debendrapara,13-Mar-24
Gumti,THT22,23.695783,91.902433,119,GUM_DAN_CT1,Gumti,Ganganagar,Dangabari,Nobokumarpara,14-Mar-24
Gumti,P17,23.695783,91.902433,119,GUM_DAN_CT1,Gumti,Ganganagar,Dangabari,Nobokumarpara,14-Mar-24
Gumti,THT35,23.498806,91.800528,106,GUM_DYK_CT1,Gumti,Raishyabri,Dyke 4,Tarmo Adam,14-Mar-24
Gumti,THT15,23.498806,91.800528,106,GUM_DYK_CT1,Gumti,Raishyabri,Dyke 4,Tarmo Adam,14-Mar-24
Gumti,P2,23.705278,91.853611,,GUM_DAN_CT1,Gumti,Ganganagar,Dangabari,Dangabari,14-Mar-24
Gumti,THT02,23.714639,91.766167,184,GUM_KAK_CT1,Gumti,Mungiakami,Kakrachera,Bukho para,19-Mar-24
