Sl_no,Project_partner,State,Location,CT_no,Latitude,Longitude,Altitude,Grid_no,CT_loc_ID,PA_name,Range,Beat,Nearest_village,Date_of_Deployment,Habitat_type
101,Policy Advocacy and Reasearch Centre (PARC),Maharastra,Sakhri,"T74, T78",18.3755,73.4855,1028,7,"T74, T78",-,Paud,Dhadavali,Dhadavali,18-05-2025,Dense forest
102,Policy Advocacy and Reasearch Centre (PARC),Maharastra,Daswe,"T40, T37",18.396533,73.53095,815,8,"T40, T37",-,Paud,Daswe,Daswe,17-05-2025,Dense forest
103,Policy Advocacy and Reasearch Centre (PARC),Maharastra,Mose Budruk,"T38, T43",18.401247,73.577466,762,9,"T38, T43",-,Velhe,Ambegaon,Ambegaon,17-05-2025,Degraded forest
104,Policy Advocacy and Reasearch Centre (PARC),Maharastra,Varasgaon,"T58, T71",18.40954,73.61309,703,10,"T58, T71",-,Velhe,Ambegaon,Ambegaon,17-05-2025,Degraded forest
105,Policy Advocacy and Reasearch Centre (PARC),Maharastra,Dapsare,"T57, T51",18.32503,73.42785,716,11,"T57, T51",-,Velhe,Dapsare,Dapsare,16-05-2025,Near water stream
106,Policy Advocacy and Reasearch Centre (PARC),Maharastra,Gondekhal,"T39, T47",18.347855,73.478957,765,12,"T39, T47",-,Velhe,Ambegaon,Ambegaon,16-05-2025,Dense forest adjoining stream
107,Policy Advocacy and Reasearch Centre (PARC),Maharastra,Kashedi,"T45, T36",18.35141,73.52383,705,13,"T45, T36",-,Velhe,Mangaon,Mangaon,16-05-2025,"Dense forest, road nearby"
108,Policy Advocacy and Reasearch Centre (PARC),Maharastra,Kadve ghat,"T56, T55",18.333494,73.58741,988,14,"T56, T55",-,Velhe,Mangaon,Mangaon,16-05-2025,Open forest
109,Policy Advocacy and Reasearch Centre (PARC),Maharastra,Khanu,"T44, T54",18.305908,73.4919,911,16,"T44, T54",-,Velhe,Harpud,Harpud,16-05-2025,Open forest
110,Policy Advocacy and Reasearch Centre (PARC),Maharastra,Pole,"T52, T35",18.311322,73.539948,899,17,"T52, T35",-,Velhe,Mangaon,Mangaon,16-05-2025,Open forest
111,Policy Advocacy and Reasearch Centre (PARC),Maharastra,Gevande,"T86, T70",18.282553,73.567018,875,18,"T86, T70",-,Velhe,Dhanep,Dhanep,15-05-2025,Dense forest adjoining open forest & plateau
112,Policy Advocacy and Reasearch Centre (PARC),Maharastra,Harpud,"T75, T64",18.260043,73.531322,755,19,"T75, T64",-,Velhe,Harpud,Harpud,15-05-2025,Near water stream
113,Policy Advocacy and Reasearch Centre (PARC),Maharastra,Kolambi,"T87, T80",18.2661,73.59581,808,20,"T87, T80",-,Velhe,Harpud,Harpud,15-05-2025,"Dense forest, hill near water body"
114,Policy Advocacy and Reasearch Centre (PARC),Maharastra,Khopadewadi,"T68, T66",18.25382,73.62093,936,21,"T68, T66",-,Velhe,Velhe,Velhe,14-05-2025,Dense forest (junction)
115,Policy Advocacy and Reasearch Centre (PARC),Maharastra,Pali,"T83, T89",18.24644,73.6632,961,22,"T83, T89",-,Velhe,Gunjavane,Gunjavane,14-05-2025,Dense forest
116,Policy Advocacy and Reasearch Centre (PARC),Maharastra,Kelad,"T81, T82",18.19847,73.57525,644,23,"T81, T82",-,Bhor,Kelad,Kelad,15-05-2025,Dense forest (junction)
117,Policy Advocacy and Reasearch Centre (PARC),Maharastra,Kumbale,"T13, T17",18.20818,73.631333,792,24,"T13, T17",-,Bhor,Kumbale,Kumbale,14-05-2025,Road
118,Policy Advocacy and Reasearch Centre (PARC),Maharastra,Dhere,"T85, T69",18.20197,73.68709,718,25,"T85, T69",-,Bhor,Dhere,Dhere,14-05-2025,"Dense forest, hill near water body"
119,Policy Advocacy and Reasearch Centre (PARC),Maharastra,Sanghvi Village,"T16, T23",18.169233,73.659117,606,27,"T16, T23",-,Bhor,Sanghavi Village,Sanghavi Village,13-05-2025,Cliff
120,Policy Advocacy and Reasearch Centre (PARC),Maharastra,"Panghare, Dehen",T32 T90,18.16239,73.71837,1039,28,T32 T90,-,Bhor,Velvand,Velvand,13-05-2025,Semi decidious forest
121,Policy Advocacy and Reasearch Centre (PARC),Maharastra,Ashimpi,"T61, T3",18.117182,73.6375,833,29,"T61, T3",-,Bhor,-,-,13-05-2025,"Decidious, sloppy area"
122,Policy Advocacy and Reasearch Centre (PARC),Maharastra,Hirdoshi,"T67, T63",18.12127,73.67462,831,30,"T67, T63",-,Bhor,Hirdoshi,Hirdoshi,14-05-2025,"Moist/Scrub, Secondary forest"
123,Policy Advocacy and Reasearch Centre (PARC),Maharastra,Devghar,"T7, T20",18.1093,73.7123,791,31,"T7, T20",-,Bhor,Aapti,Aapti,14-05-2025,Degraded Forest
124,Policy Advocacy and Reasearch Centre (PARC),Maharastra,Kudali (Durgadi),"T28, T8",18.0689,73.625,848,32,"T28, T8",-,Bhor,Kudali,Kudali,13-05-2025,Decidious Forest
125,Policy Advocacy and Reasearch Centre (PARC),Maharastra,Parhar Khurd village,"T24, T31",18.080365,73.678173,782,33,"T24, T31",-,Bhor,Salav,Salav,13-05-2025,"Fairly open forest, Forest fire in recent month near river end"
126,Policy Advocacy and Reasearch Centre (PARC),Maharastra,Rayari,"T21, T18",18.06706,73.71854,811,34,"T21, T18",-,Bhor,"Rayi Beat, Dharambe village","Rayi Beat, Dharambe village",13-05-2025,-
128,Policy Advocacy and Reasearch Centre (PARC),Maharastra,Umbartha,"T4, T27",18.017967,73.6643,907,36,"T4, T27",-,Wai,Jambhali,Jambhali,12-05-2025,Dense forest
129,Policy Advocacy and Reasearch Centre (PARC),Maharastra,Washivali,"T29, T14",18.01404,73.71376,108,37,"T29, T14",-,Wai,Washivali,Washivali,12-05-2025,Plateau
130,Policy Advocacy and Reasearch Centre (PARC),Maharastra,Kshetra Mahabaleshwar (Arthur Point),"T6, T15",17.968433,73.640467,1202,38,"T6, T15",-,Mahabaleshwar,Shetra Mahabaleshwar,Shetra Mahabaleshwar,12-05-2025,Plateau
131,Policy Advocacy and Reasearch Centre (PARC),Maharastra,Jor/ Golewadi,"T12, T19",17.984386,73.667267,860,39,"T12, T19",-,Wai,-,-,12-05-2025,"Plateau, Dry deciduous forest with a dry stream running down to the river"
132,Policy Advocacy and Reasearch Centre (PARC),Maharastra,Kondhawale,"T5, T9",17.98483,73.71862,1169,40,"T5, T9",-,Wai,Vadoli,Vadoli,12-05-2025,Moist Evergreen
133,Policy Advocacy and Reasearch Centre (PARC),Maharastra,Nakinda,"T25, T11",17.94492,73.68818,1303,41,"T25, T11",-,Mahabaleshwar,Metgutade,Metgutade,12-05-2025,Dense forest
134,Policy Advocacy and Reasearch Centre (PARC),Maharastra,Avkali,"T1, T2",17.934683,73.707317,1263,42,"T1, T2",-,Mahabaleshwar,Metgutade,Metgutade,12-05-2025,Forest edge (end of plateau)
135,Policy Advocacy and Reasearch Centre (PARC),Maharastra,Kadve khind,"T79, T84",18.339094,73.613662,941,14A,"T79, T84",-,Velhe,Rule,Rule,15-05-2025,Dense forest adjoining mud road
136,Policy Advocacy and Reasearch Centre (PARC),Maharastra,Kari,"T60, T62",18.07851,73.74682,753,34A,"T60, T62",-,Bhor,Rayari,Rayari,13-05-2025,"Field, No place to deploy - Agriculture"
137,Policy Advocacy and Reasearch Centre (PARC),Maharastra,Oholi,"T26, T30",18.02292,73.76578,1138,37A,"T26, T30",-,Wai,Wadavali,Wadavali,12-05-2025,Degraded
138,Sahjeevan,Gujarat,Chotila,1279A3004882,22.242543,71.125763,-,7,DEPAKD001,-,-,-,-,28-03-2025,Vidi
139,Sahjeevan,Gujarat,Chotila,1279A3004883,22.293712,71.167928,-,18,DEPBHOJ001,-,-,-,-,19-03-2025,Agricultural Land
140,Sahjeevan,Gujarat,Chotila,1279A3004944,22.275391,71.164184,-,19,DEPBHOJ002,-,-,-,-,19-03-2025,Agricultural Land
