Location,Camera trap no.,Latitude,Longitude,Altitude,Trap location,PA name,Range,Beat,Nearest village,Date of deployment
Trishna WLS,,N 23.232209°,E 91.36371°,,TRSHCT11,Trishna WLS,Rajnagar,Loharjum,,21-Feb-24
Trishna WLS,THT32/P3,"N 23°14'15""","E 91°21'36""",,TRSHCT12,Trishna WLS,Rajnagar,Loharjum,,21-Feb-24
Trishna WLS,THT12/P7,"N 23°14'15""","E 91°21'36""",,TRSHCT12,Trishna WLS,Rajnagar,Loharjum,,21-Feb-24
Trishna WLS,THT21,"N 23°14'57""","E 91°21'25""",,TRSHCT13,Trishna WLS,Rangamura,,,21-Feb-24
Trishna WLS,P17,"N 23°14'57""","E 91°21'25""",,TRSHCT13,Trishna WLS,Rangamura,,,21-Feb-24
Trishna WLS,THT38,"N 23°16'14""","E 91°21'23""",,TRSHCT14,Trishna WLS,Rangamura,Steel Tower,,21-Feb-24
Trishna WLS,THT40,"N 23°16'14""","E 91°21'23""",,TRSHCT14,Trishna WLS,Rangamura,Steel Tower,,21-Feb-24
,P15,,,,TRSHCT16,,,Mandaria,,22-Feb-24
,P9,,,,TRSHCT16,,,Mandaria,,22-Feb-24
Gumti,P21,"N 23°37'13""","E 91°47'22""",120,GUM_GAN_CT1,Gumti,Gandachhera,Gandachhera,Laxmipur,10-Mar-24
Gumti,P7,"N 23°40'25.8""","E 91°46'43.3""",153,GUM_JBP_CT1,Gumti,Gandachhera,Jagabandhu para,Dalirai para,10-Mar-24
Gumti,THT19,"N 23°40'25.8""","E 91°46'43.3""",153,GUM_JBP_CT1,Gumti,Gandachhera,Jagabandhu para,Dalirai para,10-Mar-24
Gumti,P18,"N 23°41'02.84""","E 91°50'08.86""",147,GUM_BAR_CT1,Gumti,Gandachhera,Barabari,Shikaripara,10-Mar-24
Gumti,THT39,"N 23°41'02.27""","E 91°50'09.74""",147,GUM_BAR_CT1,Gumti,Gandachhera,Barabari,Shikaripara,10-Mar-24
Gumti,P10,"N 23°31'9""","E 91°46'38""",130,GUM_KAL_CT1,Gumti,Gandachhera,Kalajhari,Ajidapara,11-Mar-24
Gumti,THT26,"N 23°31'9""","E 91°46'38""",130,GUM_KAL_CT1,Gumti,Gandachhera,Kalajhari,Ajidapara,11-Mar-24
Gumti,P16,"N 23°33'08.0""","E 91°45'26.2""",133,GUM_KAL_CT2,Gumti,Gandachhera,Kalajhari,Montila,11-Mar-24
Gumti,P9,"N 23°34'57.17""","E 91°46'56.88""",107,GUM_DAL_CT1,Gumti,Gandachhera,Dhalajari,Montopara,11-Mar-24
Gumti,THT24,"N 23°34'57.17""","E 91°46'56.88""",107,GUM_DAL_CT1,Gumti,Gandachhera,Dhalajari,Montopara,11-Mar-24
Gumti,THT13,N 23°32.144',E 91°45.869',142,GUM_KAL_CT3,Gumti,Gandachhera,Kalajhari,Saduchandra Reangpara,11-Mar-24
Gumti,P20,N 23°32.144',E 91°45.869',142,GUM_KAL_CT3,Gumti,Gandachhera,Kalajhari,Ajidapara,11-Mar-24
